rank,layer,head,dla_score
598,13,39,-0.01072188001126051
599,4,26,-0.010920122265815735
600,18,14,-0.010967857204377651
601,2,21,-0.01097792387008667
602,18,32,-0.011017060838639736
603,10,27,-0.011079232208430767
604,12,33,-0.011271576397120953
605,10,31,-0.011374745517969131
606,13,17,-0.011472862213850021
607,10,24,-0.011518402956426144
608,7,36,-0.011568251997232437
609,14,28,-0.011753487400710583
610,13,3,-0.011761922389268875
611,15,12,-0.011889543384313583
612,12,32,-0.01199618075042963
613,5,26,-0.012101877480745316
614,1,21,-0.012141809798777103
615,18,1,-0.0121921943500638
616,11,0,-0.012858116067945957
617,13,38,-0.013002154417335987
618,6,15,-0.013285779394209385
619,9,29,-0.013428468257188797
620,3,17,-0.013441723771393299
621,7,10,-0.013478115200996399
622,17,21,-0.013707831501960754
623,15,22,-0.01384164672344923
624,16,30,-0.01406089961528778
625,12,3,-0.014202192425727844
626,12,30,-0.014373701997101307
627,14,17,-0.01513875275850296
628,14,10,-0.015193053521215916
629,11,3,-0.015229925513267517
630,10,25,-0.015446322970092297
631,11,12,-0.016302496194839478
632,15,7,-0.016399841755628586
633,16,22,-0.016586417332291603
634,9,21,-0.01668511889874935
635,3,28,-0.016782211139798164
636,10,36,-0.0169841255992651
637,16,32,-0.017176294699311256
638,16,11,-0.01720336265861988
639,4,1,-0.017276961356401443
640,11,31,-0.017377274110913277
641,18,31,-0.01830446533858776
642,13,29,-0.018315060064196587
643,10,16,-0.018821142613887787
644,6,25,-0.018924696370959282
645,7,25,-0.019259851425886154
646,6,26,-0.019460344687104225
647,18,0,-0.019811280071735382
648,17,8,-0.020281443372368813
649,18,30,-0.02036803402006626
650,15,5,-0.020494602620601654
651,11,7,-0.02077949233353138
652,10,21,-0.020829642191529274
653,5,31,-0.02083818055689335
654,17,14,-0.020862968638539314
655,18,34,-0.020926550030708313
656,10,20,-0.021004842594265938
657,11,4,-0.02102656662464142
658,9,18,-0.021032020449638367
659,12,22,-0.021494941785931587
660,10,19,-0.021593580022454262
661,15,24,-0.02220916748046875
662,11,5,-0.022220687940716743
663,18,27,-0.022325018420815468
664,18,10,-0.02254481054842472
665,16,36,-0.022685853764414787
666,18,13,-0.022941142320632935
667,6,18,-0.02326161600649357
668,7,37,-0.023338740691542625
669,17,26,-0.02353622205555439
670,12,11,-0.023656271398067474
671,16,2,-0.02407771348953247
672,18,25,-0.02413795329630375
673,5,25,-0.024428268894553185
674,4,31,-0.02463878132402897
675,7,28,-0.02522418648004532
676,14,15,-0.025314023718237877
677,17,13,-0.02590901404619217
678,7,7,-0.02654525637626648
679,9,7,-0.026886818930506706
680,12,10,-0.027101069688796997
681,13,6,-0.02714540809392929
682,16,16,-0.027365023270249367
683,5,21,-0.02919912151992321
684,16,34,-0.029602384194731712
685,12,23,-0.02962896041572094
686,12,2,-0.029962703585624695
687,16,25,-0.030239904299378395
688,18,12,-0.030760301277041435
689,16,39,-0.031068628653883934
690,15,25,-0.03160129114985466
691,5,13,-0.03166020289063454
692,17,22,-0.03212615102529526
693,14,37,-0.032821863889694214
694,13,28,-0.03303783759474754
695,15,27,-0.03381190448999405
696,13,9,-0.034334179013967514
697,16,31,-0.0344560407102108
698,11,2,-0.035333987325429916
699,12,14,-0.03550344705581665
700,12,16,-0.036140527576208115
701,12,12,-0.036151330918073654
702,11,21,-0.03632637485861778
703,14,27,-0.038352660834789276
704,11,10,-0.038553982973098755
705,17,39,-0.040329914540052414
706,18,18,-0.04069183021783829
707,16,23,-0.041326507925987244
708,15,20,-0.04132961854338646
709,16,37,-0.042556583881378174
710,11,16,-0.043243467807769775
711,14,16,-0.04350842535495758
712,15,36,-0.043636471033096313
713,16,12,-0.0445370078086853
714,16,35,-0.044852133840322495
715,18,15,-0.045002203434705734
716,17,25,-0.045641105622053146
717,14,4,-0.04693178832530975
718,17,1,-0.047737885266542435
719,8,5,-0.050031546503305435
720,13,30,-0.05003784969449043
721,16,0,-0.051321808248758316
722,17,36,-0.051684100180864334
723,17,10,-0.052243515849113464
724,15,28,-0.052372198551893234
725,9,28,-0.05271217226982117
726,10,9,-0.05320395529270172
727,10,2,-0.05358113348484039
728,17,19,-0.053841378539800644
729,17,23,-0.05574335530400276
730,16,24,-0.05758199095726013
731,12,18,-0.06023401394486427
732,15,39,-0.06294663995504379
733,16,10,-0.06610053032636642
734,13,31,-0.06803862005472183
735,13,8,-0.06838151812553406
736,15,0,-0.0699320062994957
737,13,34,-0.07027379423379898
738,18,11,-0.0737714096903801
739,17,3,-0.07790359854698181
740,14,34,-0.0804191529750824
741,17,38,-0.08044745773077011
742,15,35,-0.08334692567586899
743,13,10,-0.08336344361305237
744,15,37,-0.08407890796661377
745,14,29,-0.08512791246175766
746,18,28,-0.08710220456123352
747,13,33,-0.09147237986326218
748,9,15,-0.09408411383628845
749,15,21,-0.09420302510261536
750,13,32,-0.10546939820051193
751,18,2,-0.11239738017320633
752,18,17,-0.11919786781072617
753,16,26,-0.1254945546388626
754,16,17,-0.12576444447040558
755,15,18,-0.13160549104213715
756,18,5,-0.1410377472639084
757,16,7,-0.18318651616573334
758,10,0,-0.26433560252189636
759,17,32,-0.4402226507663727
