prompt_idx,L_top,head,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
7,20,7,457.40216064453125,-84.02233123779297,-84.2958755493164,-0.0005052307674010634,ok,
7,20,8,457.40216064453125,-84.02233123779297,-83.95372772216797,0.00012670929493139853,ok,
7,20,9,457.40216064453125,-84.02233123779297,-83.57535552978516,0.0008255550214469432,ok,
7,20,10,457.40216064453125,-84.02233123779297,-83.77751159667969,0.0004521768866830123,ok,
7,20,11,457.40216064453125,-84.02233123779297,-84.63066101074219,-0.0011235726903197354,ok,
7,20,12,457.40216064453125,-84.02233123779297,-84.49653625488281,-0.000875847000273696,ok,
7,20,13,457.40216064453125,-84.02233123779297,-84.2276611328125,-0.00037924013061484965,ok,
7,20,14,457.40216064453125,-84.02233123779297,-84.24854278564453,-0.0004178081177397649,ok,
7,20,15,457.40216064453125,-84.02233123779297,-83.76490020751953,0.00047546986538870645,ok,
7,20,16,457.40216064453125,-84.02233123779297,-83.7198257446289,0.0005587214795406974,ok,
7,20,17,457.40216064453125,-84.02233123779297,-83.98831176757812,6.28332680270358e-05,ok,
7,20,18,457.40216064453125,-84.02233123779297,-84.00150299072266,3.8469347771654574e-05,ok,
